decoded_french,labels,decoded_hyp_list
"Dans une représentation de rue, un adolescent s'enfonce",1,Deux artistes de rue sont la danse hip hop.
Trois personnes se reposent sur un ledge au-dessus des moutains.,0,Les gens sont des randonneurs ou des alpinistes.
Un homme travaille derrière son stand de fruits et légumes.,1,Un homme vend des aliments aux gens de la ville.
Une jeune gymnaste femelle se pose sur un matou en regardant une,2,La fille se pose
Une femme en rose est en position d'une jambe au sol e,2,Personne ne pose.
Le dos du chapeau portant un juggler et ayant deux,2,Un tambour en gardant ses boulons.
Vous avez l'habitude de s'alimenter avec des poivrons,0,Une personne qui cuit des poivrons chauds au milieu de l'hiver.
Deux hommes assiment sur une couche blanche.,1,Deux hommes sont à la maison assis sur leur canapé.
Un chien chasse un autre par un arbre.,1,Un chien chasse un autre chien qui a un os dans sa bouche.
Un homme en bleu informe en gardant une balle de soccer,0,Une personne est à l'extérieur.
Le joueur de basket-ball porte des chaussures oranges.,1,Le joueur de basket-ball pro porte des nikes.
Trois amis sourire pour la caméra en s'adressant à un repas,0,Les gens mangent un repas ensemble.
une femme en pantalon noir marche sur le trottoir.,0,une femme en pantalon noir marche sur le trottoir et est à
Deux chiens traversent un champ d’herbe,0,Il y a deux animaux dans cette image.
Quatre hommes à cheveux foncés assient autour d,0,Quatre hommes se trouvent autour d'un panier de poissons
Une fille portant un manteau blanc en bouillant dans une font,2,Une fille portant un vêtement ab ne peut pas se tenir.
Une femme âgée assise à la fenêtre.,1,une femme lise un journal
Un homme en chapeau s'enfonce en avant avec des gens,0,Vous avez l'habitude de porter un chapeau.
"Cinq musiciens, trois femmes et deux hommes, regardent sur un mur avec",0,Il existe au moins deux instruments.
Le chien noir saute dans l'air avec le chien blanc bouss,1,Le chien noir pique une frisbee.
Un homme et une femme portent des casques en s'e,0,Un couple se bâtonne.
Une personne hanche qui lise un magazine en jouant d,2,Un homme dorme.
Un enfant en veste bleue souriant.,0,Un enfant rit à l'aise.
Un groupe de filles dansant sur une scène.,2,Un groupe de femmes siège à côté d'une scène
Un jeune homme en hoodie rayée regarde une publicité artistique,1,Un homme pause devant un magasin Levi pour lire l'annonce.
Une femme regarde dans les jumelles tout en se bouchant devant une,2,La femme regarde l'océan.
Les garçons sont sur le terrain de soccer et jouent du soccer.,0,Ils jouent à l'extérieur du camp.
Enfants dans un champ à la détroite.,1,Les enfants jouent sur un terrain.
Les hommes se trouvent à pied des roches avec un enfant.,1,Les sages sont à pied avec les enfants et ils se rendent
Quatre garçons jouent sur un terrain de jeu,0,Les enfants jouent.
"L'homme ayant une caméra et un équipement de cinéma anciens,",0,Il y a plusieurs personnes présentes.
"une personne à moteur, en traversant les bois",1,La moto s'est écrasée dans les bois.
Un adolescent à manches rayées jouant une guitar,0,Un jeune musicien joue la guitare.
Un homme d'un châtir bleu emprunte un vélo,1,l'homme va rencontrer sa sa salope
Une personne portant un engins de protection sur une snowboarde dans l'air,0,Un snowboardeur en plein air avec engins de protection
Un homme quitte un bâtiment bleu à quatre portes alors qu'un autre,1,Un homme quitte son édifice de travail à mesure que son
Une petite fille portant une chemise verte saute d'une coll,1,Une petite fille portant une chemise verte saute sur une corde de
Deux femmes en vêtement Renaissance jouent sur scène.,0,Deux femmes sont devant un auditoire
L'homme en chemise noire avec guitare noire chante dans,2,L'homme en chemise bleue avec guitare noire chante dans
Un homme joue un instrument de bande à l'extérieur d'un,1,l'homme joue les tambours à l'extérieur d'un
Un groupe d'étudiants qui attendent en ligne pour un événement.,0,Il y a un événement à venir.
une petite fille en odeur d'une fleur,1,Elle a l'odeur de fleurs après qu'il joue à l
Un guy en vert.,0,un homme s’est encouragé à mettre un vêtement
Une personne enveloppée dans une couverture de couleur neutre assise sur,0,Une personne a une couverture autour de elle en assise sur un
Il y a plusieurs personnes qui s'assistent sur des bancs ou,2,ils sont sur Mars
Huit personnes apprécient le plaisir des radeaux et la beauté d,2,Les détenus s'écurisent dans une fourgonnette.
Trois filles et un garçon jouent dans la rue.,0,Certains enfants jouent.
"Deux femmes, portant des chemises blanches, des écussons",1,"Une paire de femmes, habillées de couleurs, s'enorgueill"
Un homme plus âgé ayant des lunettes et une barbe blanche marche,1,Un aîné se promène seul sur un trottoir.
Petit garçon en arrière sur son estomac sur l'herbe.,2,Un garçon saute par l'herbe.
Femme cycliste à cheval sur un terrain de terre.,2,Les femmes se préparent à rouler un ballon d'air chaud.
Un homme à travail dur de loin,0,L'homme était dans l'arbre.
Deux hommes portant des bandes rayées assises à une table.,1,deux amis du collège assis à une table
Femme enregistrée.,2,La femme n'est pas enregistrée.
Les élèves en arts martiaux se trouvent à l'aise,1,Un concours d'arts martiaux se déroule dans un gymnase scolaire
Une foule de gens quelque part dans une ville où il est sombre,0,Un homme en chemise noire tient un enfant dans la ville
Deux équipes se disputent agressivement l'une contre l'autre,0,Deux équipes participent à un sport passionnant.
Une jeune élève de l'école brunette portant des pantalons gris e,0,La brunette porte des pantalons.
Une femme ayant des cheveux de longueur d'épaule s',2,Une femme s'étend sur le trottoir.
De nombreuses personnes marchent sur la plage.,2,Un homme à un arrêt de bus.
Un homme en moto de terre montant sur une colline boue.,1,Un homme emprunte un vélo de terre sur une colline au Mexique.
Plusieurs Asiatiques sont en train.,1,Les Asiatiques en train de vacances
"Un homme skie sur la colline, vaporisant la neige dans l'",2,"Une femme skie sur la colline, pulvériser la neige dans l"
La neige est enlevée par le conseil.,2,Un plancher s'étend dans la neige.
Un homme équitable à un rodéo.,1,Un homme emprunte son cheval préféré.
L'homme en noir prend un nappe sur un banc devant un panneau li,0,L'homme est sur un banc.
Deux personnes travaillent à un stand alimentaire.,0,Le stand de restauration est dirigé par deux personnes.
Un homme à courtes courtes bleues et à,1,Un guy à courtes et à courtes sommet
Les hommes et les femmes toutes tenues dans des vêtements blancs appar,2,Les hommes et les femmes naissent tous dans l'océan.
Un jeune homme en tête et en sac à do,0,d’un jeune homme en pourpre
Un petit garçon joue sur un terrain.,2,Un garçon naissant sous-marin.
Les gens se rassemblent autour et il y a quelques photographies,0,Les gens se trouvent dans une pièce avec des photos sur le mur.
Un homme sur un banc vert parle sur son cellulaire.,1,Un homme parle à sa femme au téléphone.
"Deux filles jouent de balles molles, une glisse dans",1,Ils sont des adolescents.
Une jeune fille en moto sur une piste à côté de l'arbre,2,Une jeune fille assise sur le petit vélo
Une femme s'enfonce à mettre une poterie sur sa,2,Une femme tisse un panier.
Trois travailleurs de la construction fouillent un trou.,0,Ils fouillent.
Trois hommes portant des uniformes blancs peuvent peindre un étag,2,Trois hommes s'alimentent au feu.
Une femme âgée en arrière de la poule d'église.,0,La femme âgée est en église.
Un homme âgé en chemise blanche regardant une page Web sur son ordinateur,2,Une femme en sangle joue des jeux en ligne.
"La fille porte une chemise blanche et une jupe rose,",0,Cette fille porte des vêtements.
Petit chien noir et brun en arrière sur l'herbe.,0,Un chien s'étend sur l'herbe.
Guy prend une pause en transportant des sacs en marche et,1,Un homme prend sa pause à la déjeuner.
Un homme fait un tas de vélo sur une piste de terre.,2,Un homme fait un tas de skateboard sur une piste de terre.
Guy sur la machine à coudre est en attente.,0,Un homme a une machine à coudre.
Un jeune portant un chandail bleu et rouge et un,2,Un jeune en chemise rouge et bleue et un cap jaune
Un beau St Bernard brun et blanc enneigé,1,Un st Bernard brun et blanc se roule dans la neige pour sau
Un homme en t-shirt noir se tient à côté d',1,"Un homme en chemise noire, en colère sur son billet de"
Un mari et sa mariée sur une belle colline.,1,Une bride et un mari jouissent d'un moment à eux
Un chien noir s'échappe de l'eau avec un bât,1,Le chien est excité
Cette petite fille qui porte des pajamas SpongeBob pendant qu,2,Une petite fille naissant dans une piscine.
l’homme achète de la viande à l’épicerie,1,l'homme triste achète de la viande à l'épicerie
Personne assise dans une chaise et s'enfonce dans,2,Un homme saute à corde dans le parc avec des enfants.
Guy a fait une flexion de tête en portant un casque.,0,Le châtir a une somme à l'a
Ce monsieur exécute son spectacle « un homme ».,2,La jeune femme chante l'hymne national.
Un Indien s'enfonce à craquer le dos de,0,Un homme brise la tête.
Un homme parle à plusieurs autres derrière une table dans une cuisine de restaurant.,2,L'homme parle au téléphone.
une fille grimpe sur une glissière rouge.,2,Elle a enlevé les talons
Un homme en longs shorts plaidés et un chapeau de P,1,Un homme en uniforme scolaire se promène avec sa mère dans une longue
Un jeune garçon dans un désert assis sur un crotale en,1,Le jeune garçon attend d'être emmené du désert.
Femmes montées à l'extérieur.,1,Une vieille femme grimpe l'escalier à l'extérieur de la chapelle
Un jeu de chardage pour fléchir les ballons pour,1,d'un jeu de chars à des ballons à l
Une femme en costume de bain à cordes avec un homme sur une prom,1,L'homme et la femme sont mariés.
Les filles en genou et en rouleaux se,0,Deux filles se préparent à rouler.
Un homme portant une chemise bleue et un chapeau rouge,2,Le cheval est noir.
Un homme en courtes et une veste noire se t,0,Un homme se tient au sommet d'une roche.
Une femme âgée donne une gloire à sa fille.,2,Une femme est passée par une connaissance.
Une mariée et un mari empruntent quelques voies de chariot.,1,Une mariée et un mari se promènent à la cérémonie.
Un groupe de personnes qui mangent sur une table de pique-nique dans un parc,2,Un groupe savoure le vin dans la salle d'éclair.
Le chien traverse le champ de fleurs,1,Le chien traverse un champ de fleurs et bat sur une brousse de rose
Une mariée et un mari se promènent sur un escalier en,0,Les nouveaux-nés montent ensemble un vol d'escaliers.
Un homme en costume rouge et jaune évolue à travers le,0,L'homme moto à l'extérieur
Une femme s'enfonce parmi les graffitis écrits à l,0,Une femme s'enfonce.
Un photographe se prépare à prendre une photo de la fille.,1,Le photographe est le meilleur au monde
Une femme chante dans un microphone pendant son voyage.,2,Une fille lise un livre pendant ses voyages.
Un site de construction contenant du matériel de construction.,2,Un site de construction est complètement vide.
Une femme s'appuie sur une jeune fille en swing,2,Deux adultes en swings
Un homme en châssis verte escalade un mur,0,Mur d'escalade de l'homme
Un joueur de baseball en bleu et gris se trouve sur le mouchet,2,Le joueur de baseball dirige une armée d'hommes en chevau
Une personne ayant un chapeau multicolore se trouve juste derrière une mos,1,un artiste appuie son art
Un grand groupe de personnes asiatiques s'envolent dans une sorte de flo,0,Personnes à l'extérieur de la ville.
Plusieurs chiens courent sur la plage.,0,Les chiens s'envolent sur le sable.
enfant dans la route n'a pas de vêtements,2,Un chef travaille dans une cuisine.
Deux femmes africaines jouent devant un petit public.,2,Deux femmes sont parmi les auditoires.
Un homme sans chemise portant des pantalons bleus peint le fond,2,Un homme plonge dans un étang clair et cristallin.
Une femme blonde à la plage saute autour en jou,2,La femme blonde dorme.
un groupe de joggers qui s'envolent sur le trott,0,Les gens s'envolent à l'extérieur.
Un Japonais en chapeau bleu s'assiste avec son banjo.,1,Un homme exécute un récital.
"De nombreuses personnes font des achats, équitent des vélos et",1,Certains d'entre eux parlent sur des téléphones cellulaires.
d’une femme en somme blanche sautant sur un pont,0,Femme portant saut blanc.
Un chien blanc tente de jouer avec un chien brun.,2,Un chien dorme
Deux garçons s'envolent dans un baril en métal.,0,Deux garçons courent.
Une fille portant un chandail rose et un vêtement,1,La fille marche sur une voie vers l'école.
Une femme en jaune marche alors qu'une voiture jaune vif se passe près,0,Une femme marche à l'extérieur.
Ce travailleur nourrit les membres d'arbres dans une broyeure.,2,Le travailleur a dû déposer.
Deux femmes affichent une affiche promotionnelle d'un film.,0,Deux femmes ayant une affiche de cinéma.
Le groupe joue de la musique dans cette ville.,1,Le groupe joue de la musique de pays
Quatre filles sautent sur le sable près de l'océan,1,Un groupe de filles vacances près de l'océan.
"Un enfant souriant portant un coiffure de bain, un cap de",0,Un enfant porte des vêtements de nage
Une femme chrétienne a à fer des vêtements et,1,Une canine travaille comme marin.
Assurer qu'un compte rendu exact de tout ce que je vois ici,1,Assurer la conservation d'un compte rendu exact en cas de problèmes juridique
"Trois hommes qui jouent au soccer, leurs uniformes indiquent que",0,Les joueurs d'équipes rivales se trouvent en compétition f
"Jeunesse garçon portant un chalutier brun, long et un chap",2,Le garçon marche sur la marche latérale.
Une femme et un enfant s'envolent à travers un,0,Deux personnes s'envolent à travers un arbre.
Un garçon à cheveux blonds dans une chemise rouge et des,1,Un garçon à cheveux blonds en chemise rouge et
Une fille en chemise grise s'enfonce à,1,Sa mère se trouve à la porte avant et ramasse de la poussière
Une femme en tête rayée d'étranglement parle,0,Une personne communique avec quelqu'un d'autre.
Deux femmes s'asseoir sur la plage dans des trous semblent fouiller quelque,0,Deux femmes sont à l'extérieur.
Ski homme et enfant.,1,L'homme est le père de l'enfant.
Une foule de gens se rassemblent autour de la gare Oxford Circus à Londres,1,Les gens de Londres se rendent à la maison en heure de ru
"L'homme et le garçon assivent sur le sol, à côté",2,l’homme se tient à la falaise
Une femme porte une robe de mariage.,2,Une femme essaie une robe sur
Quatre jeunes garçons parlent à un homme.,2,Quatre garçons mangent le déjeuner à l'intérieur.
Un homme joue avec un jeune garçon à l'intérieur d'un jardin,0,L'homme et l'enfant sont à l'extérieur.
Trois femmes joignent sur une voie.,1,Trois femmes s'envolent.
Le chien blanc saute pour un objet jeté par son maître.,1,Le chien chasse une balle.
un groupe de personnes qui marchent par deux VUS,0,Les gens sont proches de la voiture
"L'homme en journée de travail occupée, en cours de réalisation",0,Quelqu'un est occupé.
Quatre femmes tenues en métro blanc et affi,2,Quatre femmes portant des chemises à ventre blanc et
Un homme joue avec son gâteau d'anniversaire.,2,d’un homme dormit toute la journée à son anniversaire
Deux hommes sur un terrain sportif vert plongent vers un Frisbee.,1,Les hommes sont en équipe opposée.
Une troupe de danse de douze personnes a mis en lumière et port,2,Ils dansent à la lumière de la lune.
Un jeune garçon s'est en boue à l'aide,0,Un garçon se tient à l'aide d'un stand de fruits.
Quatre hommes dans une voiture et un en siège médian se tournen,0,Quatre hommes sont dans une voiture.
Un groupe de coureurs en face d'une voiture rouge en Europe.,0,Un groupe de personnes qui se trouvent devant une voiture.
Une femme entretient un clown sur scène.,1,Le clown a un nez rouge.
Une fille à chaussures roses s'asseoira sur un lit avec,1,Une fille assise sur un lit avec son singe enfoui
Les enfants noirs assis à une table avec 6 ordinateurs portables,0,Certains enfants assident autour d'une table avec des ordinateurs
Un homme qui effectue des travaux de toit sur un toit très abrupt.,0,Un homme travaille.
"Pendant une soirée, une femme s'en tient à quelqu'un t",2,La femme assise à la maison mangeant de la mélodie
Un homme à cheveux foncés chante dans un microphone.,0,Un homme a des cheveux foncés.
Un jeune homme en chemise blanche est assis sur un banc jou,2,Une fille s'alimente à une lollipope.
Deux hommes en laboratoire pèsent à travers des microscopes pour observer des,2,Les femmes s'enfuisaient dans les microscoes.
Un homme qui lise un livre sur le trottoir avec ses pa,1,Un vieux homme s'asseit à l'extérieur pendant qu'
Un homme bouillant sur un outil à pied devant le stand de chap,1,Un homme qui se tient sur un outil de pied devant un stand de chapeau
Un homme jouant un instrument éolien en robe indigène,2,Un homme ne détient aucun instrument.
Un homme emprunte sa bicyclette sur une escalier.,0,l'homme fait des trucs à vélo
"Deux enfants, un porte-brise et un projecteur, sont souri",0,THe children are smiling.
Un camion monstre s'envole dans l'air devant une ar,1,Le camion est en aéronef pendant près de 5 secondes
Un grand chien blanc qui pousse à un grand chien noir.,0,Deux chiens interagissent entre eux.
Quatre hommes sont sur le terrain.,1,Les aiguilles sont des amis
Un noir s'assiste à une machine à coudre sur le,1,L'homme célet une courte-courrière.
Les gens se trouvent devant un panneau qui dit « The Deep End ».,2,Un groupe de personnes se trouvent en ligne devant la toilette pour femmes.
Une femme d'origine indienne qui s'est établi,2,la femme dormante
deux personnes se dirigent sur un rail à l'extérieur de l'entrée,1,Le couple attend en ligne dans un club de nuit.
"Trois personnes, portant des vêtements foncés, se rassemblent pour une",2,Trois collègues se trouvent ensemble dans un cinéma.
Un homme en chemise noire et en jeans semble travailler sur,1,L'entrepreneur inspecte le système de refroidissement de l'eau.
Les jeunes s'entretiennent à l'extérieur d'une rue,0,il y a beaucoup de gens autour
Deux jeunes femmes s'envolent dans leurs cahiers de poche pour,2,Les femmes naissent dans un lac.
Groupe de personnes kayaking ensoleillé.,1,Un groupe de gens qui s'aventurent en kayak ensoleillé
Une femme en vert et en bleu aplaudit un cour,1,Les coureurs rouges ont un nombre de 58 sur eux.
Trois chiens se courent à la traîne autour d',0,Certains chiens courent.
Deux travailleurs travaillent sur un toit à ciel bleu vif en fond.,0,Deux travailleurs se trouvent sur un toit.
Une femme asiatique portant un chapeau de bambou travaillant dans un fil,1,Une femme asiatique dans un kimono et un chapeau de ba
Un homme en veste jaune vif et un casque assi,0,"Deux hommes, l'un en jaune et l'autre en"
Un homme en combinaison humide jete un tout-petit dans l'air,2,Un homme en combinaison humide a plongé un jeune garçon à
Deux femmes marchent sur un trottoir.,0,Les femmes sont à l'extérieur.
Un chien noir joue à l'intérieur de la clôture.,1,Un chien noir joue.
Une femme est sur le point de descendre sur l'escalade.,2,Un homme est sur le point d'ascenser sur l
l’homme en jupe noire marche avec un sac à main sur,1,La femme va au dîner.
Deux femmes sont en kicking.,0,Deux femmes y participent.
La grand-père démontre comment le gros forage jaune fonctionne de sorte que le garçon,0,Une manifestation humaine
Trois hommes dans une crevée dans une rue.,2,Les trois hommes sont à l'intérieur d'un jeu de cartes.
Deux chiens en marche sur le chemin de la terre.,1,L'un des chiens est jaune en couleur.
"Un homme, une femme et deux jeunes garçons assient sur un banc",2,Deux hommes et deux femmes siègent sur un banc en nu
Cinq hommes de la plage s’envolent dans l’eau.,2,Les hommes dînent dans un restaurant de qualité.
Cinq femmes se sont rassemblées pour jouer des instruments de boue et de,0,Les femmes jouaient des instruments dans la salle de séjour.
Un bébé regarde dans un tiroir à jouets et à la,1,Un bébé qui cherche sa ville perdue dans un tiroir à joue
Un homme sans chemise en vêtement de bain travaille sur un château de,0,Un homme en combinaison de bain travaille sur un château de sable.
Un homme qui pratique le karate se déplace dans l'air.,2,L'homme ne connaît aucun karate.
Un chien noir capturé à mi-jump et pêchant,0,Un chien saute.
Deux travailleurs mettent en place un panneau d'affichage.,0,Deux travailleurs mettent en place un panneau d'affichage
Deux enfants assient ensemble sur la salle de conférence.,2,Deux enfants sont dormants.
Un groupe d'employés qui discutent d'une question lors d',1,Un groupe d'employés parle d'une fusion potentielle.
"Un jeune homme se trouve sous un grand arbre dans un parc, gardant ce",0,Un jeune homme se trouve sous un arbre de parc avec une bière
Un homme en jaune ayant un café marche sur le trottoir.,0,Un homme en jaune marche avec une tasse de café à la main.
"Une femme asiatique et un mâle noir, qui se rendent à",1,Il y a un couple biracial qui marche ensemble.
Un homme dans une chemise grise joue la guitare électrique tandis,1,Un homme dans une chemise grise joue joyeusement la guitare électrique
Un homme portant une chemise bleue croît sur une falaise,2,Une femme en fer
Un jeune garçon criant en portant une chemise qui dit « Je,2,Un bébé est vraiment en bonne humeur.
Le grand chien brun se roule à l'extérieur dans la terre.,1,Un chien grand à lance une balle.
Les enfants et le personnel s'assujettis au plan,0,Les gens sont dans une pièce
Une foule de personnes sur scène avec des microphones.,1,Des humains énormes sur scène.
Il y a des gens à un équitable en bordure,1,Deux enfants attendent sur un banc après avoir été dits qu'ils étaient trop
Un homme dans un peintre orange à l'extérieur.,1,L'homme s'est récemment réveillé.
Une femme lise le journal du métro sur un train de métro,1,Une femme lise le journal Metro en son chemin de travail.
Les gens s'assistent à l'extérieur sur l'her,0,Les gens se trouvent près d'un immeuble.
Une femme âgée utilise une roue de spin pour créer du tissu.,1,Une vieille femme fabrique du tissu pour un nouveau vêtement
L'homme prend une photographie d'un groupe d'adolescent,0,Un groupe d'adolescents pose pour une photo.
Une personne conduit dans une voiture rouge.,2,Une personne évolue dans une voiture blanche.
Une foule s'étend sur une piste à grande échelle pour une course.,2,d’une foule de gens s’asseoir autour
