decoded_french,labels,decoded_hyp_list
"Le patineur saute à une falaise de 5 pieds, exécut",2,Un patineur naît avec des requins.
Un homme qui se tient devant une classe d'étudiants asiatiques,1,Une grande âme
Un bébé est en chaise d'activité dans la salle de jeu d'un,1,Le bébé joue avec des blocs.
Enfant à l'intérieur d'un grand fort de neige.,0,Un enfant dans une structure neigée.
Une jeune fille en pantalon rouge regarde un mannequin de fenêtre,2,La fille est aveugle.
Une foule de gens en robes colorées.,0,Les robes varient en couleur dans cette photo.
Deux hommes transportent des filets près d'un piégeage.,2,Hommes nager dans la rivière
Une femme âgée portant une aprone imprimée à fleurs avec,1,Une femme cuisine pour sa famille
Un groupe à une fête extérieure comprend un homme portant des pantalons de,0,Le groupe de la partie est à l'extérieur.
Trois femmes se trouvent dans une pièce.,2,Trois hommes se trouvent dans une pièce.
Une fille en uniforme rouge et blanc en têtant une,1,Deux filles d'équipes rivales participent à un jeu
Un homme ayant un tatouage porte des lunettes de soleil pendant qu,1,Un homme ayant un tatouage facial et Ray-Bans
d’un surfeur en eau est évacué sur la plage,0,Il y a des surfeurs sur une plage.
Cinq enfants d'origine indienne se soument et se pos,1,Les enfants prennent une image de classe sur la diapositive.
Une femme plus âgée transportant deux pèlerins ensoleillés,2,La vieille femme danse.
Couple regardant la lune sur un pont.,1,Le couple est marié.
Un jeune garçon à courtes et à brefs bleus,2,un jeune enfant mange un bélier dans la piscine
Un homme assis dans une chaise sur le trottoir devant un énorme,2,L'homme regardait la télévision
Une personne en chemise grise et blanche rayée déplace,0,La personne évolue sur sa bicyclette.
Une équipe de football se prépare à s'enfoncer dans un sta,0,Il y a un jeu qui sera en train de se jouer.
3 femmes et 2 hommes en attente par un mur dans le parc parlant,0,Les gens attendaient par le mur.
Un homme de construction semble regarder sur un dispositif.,1,L'homme s'en remplace par la technologie.
Un homme regarde touché par les résultats de son jeu de poker.,1,L'homme a perdu le jeu
Neuf femmes en robe blanche et en capuchon marchent sur,0,Les femmes ont chacun une tête.
Deux enfants jettent des feuilles mortes dans l'air autour de eux,2,La banane a chuté de l'arbre.
Deux policiers masculins en patrouille portant les engins normal,2,Les officiers ont tiré un Noir non armé et ne
Un jockey en gallops bleus d'un cheval de chât,1,Un jockey essaie son cheval
L'homme en cuir imprimé en squelette assis sur une,2,L'homme est nu.
"Deux hommes, un genoux et un squattement, se",0,Deux hommes posent devant un mur transparent que vous pouvez voir derrière les magasins
Une adolescente se trouve dans un grand garage industriel où deux garçon,1,Un groupe d'adolescents attend leurs parents dans un grand garage
Deux jeunes adultes doivent dormir.,0,Deux personnes dorment dans un véhicule
Un chien se saute dans l'air dans un champ grassé entouré,2,Un chien dorme dans un champ grassé entouré d'arbres.
"Quatre personnes se trouvent à côté de certains vélos, t",2,Deux personnes se trouvent sur le terrain.
L'homme en cuir imprimé en squelette assis sur une,1,Le vélour affiche son vélo.
Deux jeunes enfants se trouvent sur un éléphant qui mange des verd,-1,Les gens sont au-dessus d'un animal.
Un homme d'une escalier à l'intérieur d'une,0,Un homme se tient dans un escalier.
"Trois Oklahoma Sooners jouent de football contre une autre équipe, l'un",2,Un groupe d'ours joue un jeu de football.
Un homme en vêtement bleu porte un seau jaune en marchant dans,2,Un homme est à l'église.
Le côté d'un édifice situé à côté d',1,Le propriétaire d'un immeuble loue des locaux publicitaires.
Un enfant qui frappe un baseball dans un terrain de baseball.,1,L'enfant qui frappe le ballon s'exerce pour son prochain jeu.
Un motocycliste d’équipement de protection des puits s’,2,Un snowboarder tombe
Un homme et une femme dansent ensemble.,0,Un homme et une femme dansent.
Deux familles à un pique-nique avec l'herbe verte.,1,Les amis pique-niquent dans le parc.
une femme assise dans un dessus de polka noir et des,1,Une femme a l'impression d'être étrange assis
"Une femme jette des éclaircissements sur une cible, c'",1,Une femme ayant des aptitudes sportives cible les carottes avec des lames.
Un jeune garçon qui regarde un livre d'images.,0,Un garçon qui regarde des photos dans un livre.
Les gens s'envolent dans un marché extérieur occupé.,2,L'homme marche son chien sur le trottoir.
Une danseuse féminine fait un saut de centre sur une scène.,2,La femme siège dans l'auditoire.
Un jeune garçon se trouve dans un champ surdimensionné avec une tondeur de,0,Un jeune garçon se trouve sur un terrain avec une tondeur de gazon.
Deux enfants en vêtements d'hiver se joignent près d'un,0,l’enfant jouant près d’un lac
Un homme équilibre une balle sur un parapluie japonais.,0,Un homme occupe un parapluie.
"Deux femmes à cheveux blancs, toutes deux portant des chapeaux, jou",2,Ces deux femmes ne font pas de bruit.
Deux jeunes garçons en tronc de nage sont en eau e,0,Les garçons se regardent les uns les autres
Grading and pricing fish in an open air fish market.,0,Le poisson frais est vendu sur un marché extérieur.
Un homme en châssis rose vole un vieux vélo couples,2,Un couple donne à un homme un vélo en cadeau.
Une jeep rouge s'apprête à partir du bord d,1,Le Jeep va tomber.
Six femmes qui montrent leur nationalité en gardant un drapeau.,2,Les femmes tiennent un mât vide de drapeau
L'homme pond sur une plate-forme extérieure sur quelques roche,1,L'homme s'épuise après avoir roulé 3 mille
Un joueur de rugby en bleu plonge à l'endroit où il,1,Un joueur de rugby s'attaque à un adversaire dont le jeu est sur le
La femme du centre-est portant le foulard rose marche à côté d',1,Ces deux femmes sont des amis.
Deux chiens se s'ébranlent sur le sable.,1,Deux chiens bruns se rebroussent à la plage.
Quatre personnes dans une cuisine,0,Quatre personnes dans une cuisine cuisine.
Plusieurs hommes en combinaison protectrice roulent un homme sur un gurn,1,Un homme est emmené dans l'hôpital
Deux femmes s'arrêtent entre une voiture à puce rouge et un,1,Les femmes sont des surs.
Un garçon et un chien se trouvent sur la pelouse extérieur,2,Une fille et sa mère marchent à la voiture.
Un couple s'enfonce à la tête en lisant un,0,Un wagon de stationnement à l'arrière-plan est en noir.
un homme de l'est en robe blanche assis sur un banc,1,d’un musulman assis sur un banc
"Six hommes, tous portant des plaques de numéro identifiant, participent",1,un groupe de marathoners à courir
Le vaporisateur masque la face et le torse de l',1,Un homme descend sur une rivière en kayak.
Un bébé portant le jaune prétend être un médecin pendant qu'il se promène dans,2,Le bébé porte du rouge et prétend être un pompier.
Un petit garçon kisse une petite fille en s'assistant sur un,1,Deux enfants sont payés pour se baiser
une petite fille assise sur un siège.,-1,Elle se tient bien.
Un grand chien à tan s'enfonce avec un élément,0,Un chien grand a quelque chose de vert.
Un jeune homme s'envole vers un terrain de tennis alors qu'un,2,Une jeune fille s'envole sur un terrain de soccer.
Une jeune femme blonde à gorge tressée et portant,1,Une jeune fille blonde est en tête pour une course à vélo
Une jeune fille en boule et en courtes roses,0,Les enfants jouent un jeu de soccer.
Un homme à l'arrière a été arrêté par un off,2,L'homme est court.
Un groupe de femmes se trouvent devant un immeuble.,2,Certaines filles modélisent une montre sur piste.
Une fille en gilets pourpre s'inclinant contre un mur,2,Une femme fait des crêpes.
Une personne escalade une falaise qui surplombe l'eau.,2,Une personne marche sur la plage.
Très jeune garçon en bouillant devant une mariée et un mari,2,Personne ne s'en tient
Deux jeunes garçons en tronc de nage sont en eau e,2,Les filles regardent le vêtement de pant
Une mère travaille paisiblement à la confection d'un matou,2,Un père bat son enfant.
Une femme blonde et une femme brunette boivent des verres,1,Les femmes célèbrent.
Les femmes se trouvent en dehors,0,Il y a des femmes mulipales à l'extérieur.
Les gens s'assistent autour d'un bar circulaire.,2,l’ascension à un arrêt d’autobus
Un homme plus âgé en veste de sport bleue et en lunette,2,L'homme plus âgé parle à un autre homme.
La femme cédère pour gagner sa vie dans son pays.,0,Le travail d'une femme est de coudre.
Un petit enfant saute d'un balcon en briques.,2,Un enfant dorme au lit.
Un homme portant un costume à étiquette de nom se tient devant un,2,d’un homme assis sur un canapé
Un homme sans chemise portant des shorts blancs.,0,Un homme en courtes blancs ne porte pas de chemise
Deux femelles et un mâle regardent divers produits.,1,Une famille fait des achats de fenêtres ensemble.
Lady standing outside a building talking on her cellphone.,0,la femme est en position debout
Couple à pied sur la plage.,0,Un couple est à la plage.
Un jeune garçon se trouve sur un patio engorge de tables et de chaises,2,Un jeune garçon est dans le parc.
Le chien brun a une tige à la joue des autres chiens avec ses,2,Le chien noir a l'arrière de l'autre chien.
Une femme en arrière en arrière.,0,Une femme se tient en ligne.
Une voiture de course à vitesse sur la piste.,2,Une voiture de course a bloqué le long de la piste.
Deux garçons se trouvent dans un océan à mesure que le soleil se couch,0,Les garçons sont en boucle
"Un jeune homme en tête noire, en jeans bleus",2,Les vieux hommes jouent un jeu pacifique d'échecs dans
l’un des ollies d’un skateboarder.,2,Un skateboarder s'enroule à sa bicyclette
Une femme en foule et un garçon en bleu à droite en,1,La femme et le garçon assient près d'un mur et
Un homme qui s'enfonce sur le sol avec une chemise au,0,Un homme dormant.
Un homme et une femme se trouvent sur un trottoir entre,2,Le trottoir était déserté.
La salle à l'ampleur des jeunes réagit émotionnellement,2,a room of kids dancing.
Un groupe de personnes qui se trouvent sur des radeaux et qui se,2,Un groupe de personnes nage rapidement à partir d'un requin.
"Une femme dans une salle de bain, assise sur le lavabo, fait",0,Une femme s'est en fait en masticité.
Une femme asiatique se tient le long d'une route où deux auto,2,La femme est américaine.
Une personne en orange monte une face à la falaise recouverte,2,Il fait des achats au walmart
Un jeune garçon portant des vêtements de nage de sécurité et des lunettes est,1,Un enfant porte des ailes d'eau pendant la nage.
Un homme s'envole sur un mur de roche,1,Un homme s'élève sur un mur de roche dans le désert
Femme militaire utilisant un microscope.,0,Une femme utilisant un microscope.
Un couple plus âgé repose sur un banc.,0,Deux personnes se trouvent à côté de l'autre.
"Un gymnaste masculin de Roumanie, portant tout le rouge, se",0,Le gymnaste portait rouge.
Les gens attendent en ligne par un vendeur de produits alimentaires.,2,Les gens assident et attendent leurs commandes dans un agréable restaurant
Deux hommes s'habituent pour le hockey et y montent,2,Deux hommes sont vêtus de bikini.
Les hommes plus âgés parlent et se trouvent autour.,2,Les hommes marchent à leurs voitures dans le silence.
Quatre hommes portent des calottes rouges de baseball et des,0,Il y a un groupe d'hommes.
"Un jeune homme portant des lunettes, saute à l'extérieur",2,Un vieux homme saute dans une piscine.
"Une jeune fille ayant une veste blanche, des manches roses et",1,La fille est habillée pour une fête.
Six enfants éclairent dans un parc d'eau extérieur.,-1,Les enfants jouent dans la piscine des enfants.
Les gens attendent en ligne par un vendeur de produits alimentaires.,1,Les gens se tiennent en ligne pour la nourriture lors d'un festival.
Les gens qui s'en tiennent à une bière et,1,Les gens s'en tiennent heureusement à la ligne
Femme qui s'adresse à la nourriture au supermarché.,1,La femme s'adresse au magasin pour le mas congelé.
Un travailleur de la ville qui travaille sur l'équipement électrique.,0,Le travailleur travaille.
Un jeune garçon qui regarde un livre d'images.,2,Une fille qui lise un roman.
Un homme portant un t-shirt noir et une veste à,1,Un homme âgé marchant à côté d'un écrasant.
Une voiture de course s'éloigne alors qu'un homme couvre ses,1,La voiture de course est sur une piste
Une femme qui protège son visage contre le soleil avec un parasol coloré.,1,La femme est préoccupée par les dommages causés par le soleil.
Un chien noir et un chien blanc s'en occupent à,0,Les chiens chassent une balle.
Une équipe de football se prépare à s'enfoncer dans un sta,2,Le stade était enfoui de gens.
Un homme portant une chemise blanche et bleue de mas,2,Un groupe de gens regarde des canards dans l'étang.
Une fille en robe fleurie s'enfonce sur le,2,La fille porte une robe rayée verte.
Une femme marche avec un garçon qui porte un drapeau.,2,La femme naît avec son enfant à la piscine.
Les nuages amassés le ciel pour l'événement parrainé par,1,"Ils espèrent avoir la chance de se produire, car il semble qu'il"
Les hommes en vêtements foncés et les femmes en ju,1,l’homme est vieux
Une femme noire en vertu d'un mannequin,0,Une femme noire marche par une fenêtre.
plusieurs enfants attendent en ligne devant un camion de glace la nuit,-1,Un groupe d'enfants en attente d'acheter de la crème
Un aîné attend à la fenêtre d'un restaurant qui sert des,1,Un homme cherche à commander un sandwich de fromage grillé.
"Un homme en arrière en arrière, en arrière",0,Un homme en marche.
Une femme assise à une table à l'extérieur avec des magazines,0,Une femme regarde certains magazines à l'extérieur.
Un chien commence à monter un escalier en briques près des plantes.,0,Un chien s'élève sur les escaliers.
Un homme et une femme se trouvent à une table de restaurant,2,l’homme et le chien mangent du jambon
"Trois femmes d'âge moyen se trouvent sur une scène, une chant",0,Trois femmes sont sur scène.
Trois personnes en marche en aval à la gare.,0,Un groupe de personnes traverse une zone de transports en commun.
"Un couple en squatte à l'extérieur, engagé avec",-1,Un couple regarde vers un endroit où quelqu'un assis dans la
Une fille rit en gardant des roches à,1,Une fille rire à l'homme
"Un homme en costume jaune, fixant quelque chose sur le coin d'une",2,L'homme s'enfonce dans la maison.
L'homme fait des talons avec sa bicyclette.,2,L'homme patine en arrière pour la foule.
Un homme en chapeau orange et en veste brune e,0,d’un homme en roue avec des raquettes sur
"Lors d'un congrès, un homme prend un appel téléphonique derrière le",0,Un homme est à un stand.
Une petite fille en robe rouge et en robe de tennis.,2,Un homme en rouge.
Une femme en arrière en arrière.,2,La femme mange un sandwich.
Une fille dans un dessus de char rose et son ami assi,0,Une fille assise sur des escaliers en pierre dans un dessus
Un homme portant des chaussures jaunes et une veste noire est,0,Un homme se déplace sur l'eau.
"Une fille en noir et blanc, et portant un paraplu",1,La jeune fille est prête à la tempête.
L'homme glisse sur un vélo sur les escaliers.,0,Un vélour glisse en arrière des fers.
Un chien blanc chasse un animal en traîneau sur une corde.,1,l’animal est un chiot
Un garçon en chemise rouge et un garçon en chemise jaune,1,Les garçons sont des frères.
Les hommes se trouvent sur des escaliers en dehors d’un,1,Les hommes se trouvent à bord d’un bateau à quai
Un chien s'envole le long de la surfe océanique.,0,Une canine se roule sur le littoral.
Un homme et une femme en uniforme blanc se trouvent à,2,Une femme en uniforme blanc assise sur un banc en dehors
Ils assident au bord d'une fontaine,0,Les personnes sont assises sur le bord de la fontaine.
Personnes assises dans des chaises de massage,2,Les femmes font des salopes de saut.
Deux hommes en uniforme tiennent une affiche avec de jeunes enfants.,2,Deux hommes détruisent les signes que les enfants ont créés.
Un groupe de personnes assis sur des bancs dans un parc en dehors,-1,Une femme siège elle-même sur un banc.
Un homme en orange et blanc emprunte son vélo de montagne dans une,1,L'homme roule sur un vélo de 12 vitesses et porte une
Un homme utilise un équipement stéréo.,0,Un homme utilise un équipement audio.
Un joueur de baseball glisse à la maison derrière le joueur de balle.,-1,Le joueur se dirige vers l'objectif.
Un homme et une femme se trouvent face à l'autre,1,Le duo chante une chanson.
Un homme en kayak en bordure de la rivière flotte.,2,Un homme attend en trafic.
Une fille en shorts noirs poussant un vélo dans la rue.,1,Une femme en court foncé pousse à la fatigue son mode de
Une bataille de hockey.,0,l’adoption d’un mécanisme de lutte contre les armes
Un homme parlant à une femme avec un promenade dans une pièce avec,0,l’homme parle à une femme
Un cycliste emprunte une montagne rocheuse.,0,Il évolue à vélo.
Un combattant de sumo accepte une récompense.,1,Un combattant a gagné la bataille.
Deux petits enfants asiatiques sont vêtus chaleureusement dans des vestes,1,Il est froid à l'extérieur.
Un enfant brun portant des jeans et ne tissant,0,Le garçon utilise ses mains pour tisser un rugos.
Un homme en chemise rouge assis à son bureau avec une jam,1,Un homme ne s'assiste pas à l'extérieur de
Trois jeunes hommes s'assainissent d'une salle de,2,Trois femmes marchent en classe sur le café.
deux jeunes enfants sur un patin à roulettes qui traversent un trottoir,2,Deux jeunes enfants en vélo.
Un gardien suit l'action durant un match de soccer.,0,Le gardien est en position derrière le filet à l'
Une personne emprunte sa bicyclette dans le sable bordant,2,Une personne est sur un bateau.
Un homme dans son propre monde de lui et de sa musique tout simplement,0,Un homme se trouve à un coin de rue.
Un garçon conduit un tracteur de jeu alors que l'autre garçon saute du,2,Il n'y a qu'un garçon présent.
Un homme ayant un chapeau de cowboy tachet de plaide,1,Les gens équitent des chevaux et des ponies pour un
Une protestation avec une personne portant une robe noire et munie,2,Les gens font des bougies.
Trois femmes et un homme interagissent dans la rue.,1,Un groupe de personnes qui s'entretient au festival.
Un petit groupe d'hommes écoute un homme en châs,2,un aigle assis dans un arbre
Un enfant regarde des robes colorées.,0,Une personne regarde des robes colorées.
Quelques voyageurs dans une gare.,0,Certains voyageurs se trouvent à la gare.
Une cérémonie avec un homme parlant et un autre homme ajustant,1,Ils se préparent à un rite.
Une femme danse danse dans une robe polka et une tête de,1,Une femme danse alors qu'un groupe de gens l'ignore en
Les enfants s'asseoir et s'escalade à proximité,2,Les enfants s'envolent dans le jeu.
Un jeune garçon tombe de son patinoire dans un pieux de feuilles brunes,2,Les feuilles sont vertes.
"Un homme assis à un bureau, réparant des écritures anti",0,d'un homme de réparation uvre
Enfant à l'intérieur d'un grand fort de neige.,2,Un garçon qui suivent au soleil.
Un chien noir et blanc jouant avec un volley-ball bri,2,Deux chiens marchent en aval.
Un homme sur le point de s'écraser avec un très gros,0,l’aéronef est d’une grande taille
Un homme à veste orange prend la photo de quatre femmes et un,1,Un photographe prend des photos de personnes pour un magazine sportif.
Deux enfants en vêtements d'hiver se joignent près d'un,1,l’enfant jouant près d’un lac en vacances
Les gens bouillants marchent dans la ville la nuit.,2,Sept personnes dansent dans un club de nuit.
Un garçon en chemise bleue assis sur une couche avec d,1,Un garçon à l'arrière avec ses amis
Un homme en chemise bleue est en laboratoire en regardant un,2,Un homme dorme dans le banc du parc
Deux femmes danses avec d'autres danseuses.,0,Deux femmes dansent sur le plancher de la danse.
Un homme en chemise à long rouleau gris fait une transaction,0,Un homme porte une chemise grise
Un guitariste s'en tient à la scène.,1,La phase est élevée.
Un homme en uniforme se tient sur la plage avec une caméra dans ses main,2,La garde côtière enregistre les vagues sonores pour sa
Un travailleur de la construction mâle s'est enfoncé,1,Un travailleur de la construction ramène le cuivre dans le mur de la cuisine
Un homme blond se trouve à côté d'un mélangeur de,1,Un travailleur de la construction se trouve à l'extérieur de certaines montagnes
Une femme en robe imprimée à étoile bleue se trouve,2,La femme a un équipage et une cuisson sur barbecue.
"Un groupe d'enfants noirs, en boucle autour d",0,Il y a des enfants d'un adulte.
Une fourgonnette à papier en roulant devant un magasin.,1,Un véhicule de l'entreprise sur le point de livrer des marchandises.
"Un jeune homme en tête noire, en jeans bleus",1,Les adolescents se rassemblent devant l'ancienne pharmacie pour skateboarder ensemble.
Un petit enfant regarde vers quelqu'un alors que sa tête est dans une,2,Un enfant est tombé dans un musée d'art en l'aid
Un petit enfant blond joue avec un puzzle de couleur variée sur la jambe,0,Un petit enfant joue avec quelque chose.
Un photographe en robe en tache prend des photos d'un,0,Les enfants sont photographiés.
Un homme en veste noir parle avec deux femmes blondes en,2,Ballet de danse Bonnabos.
Une femme en chemise bleue se tient avec ses mains sur ses,1,La femme en chemise bleue regarde les peintures dans un musée.
Une personne qui écrit quelque chose dans un journal.,2,La personne écrit un livre.
Un homme en veste et chapeau orange plonge des,2,Personne n'a un veste
Un chien noir joue avec un animal en couleur blanche et bleue.,0,Un chien joue avec un animal en fût.
Trois jeunes enfants indiens jouent le ballon de l'arrière,0,Trois personnes jouent un jeu.
"Deux femmes en koko, la femme en rouge bloque une",2,Les femmes portent tous du bleu.
Les joueurs de football se joignent avant une jouée.,2,On voit le football sur la télévision
Deux marathoneurs en forêt.,2,Les coureurs sont sur la plage.
Une femme se prépare à frapper un volley-ball.,1,La femme est à la plage.
Certains jeunes garçons empruntent des vélos dans la rue.,0,Ces garçons sont en vélo
Deux enfants qui se trouvent dans l'herbe sont pulvéris,2,Les enfants jouent dans l'herbe
Un homme dans son propre monde de lui et de sa musique tout simplement,1,Un homme aime jouer de la musique pour l'argent.
Homme en tête et jeans bleus en mains,0,Un homme et une fille marchent ensemble
Les gens marchent dans un magasin.,1,Le magasin a une grande ouverture.
Un groupe d'hommes cherche quelque chose.,2,Un groupe d'hommes a trouvé du trésor.
Quatre filles regardent des objets sous un microscope.,1,Quatre filles tristes regardent des objets sous un microscope.
Un peloton est en train de rouler des vélos en pav,-1,Les gens sont sportifs.
Une infirmière examine l'équipement dans la salle d'opération.,0,Une infirmière au travail.
Un homme en noir lisant un livre pour un groupe de personnes.,0,L'homme lise.
"d’un homme ayant un tatouage sur son bras,",0,Un homme cuisine la nourriture.
Une femme à cheveux rouge a un coussin et rire.,2,Une femme enleve les ordures
Les jeunes filles à pieds nus commencent à perdre leur équilibre,1,La fille tombe sur le béton.
Quatre enfants sont habilés clowns et danseurs sur une scène,0,Six enfants participent à un spectacle de clowns.
Une femme qui tient des roses pendant qu'elle attend.,2,cette femme a l'air d'un avion
Trois personnes sur une plage.,2,Les gens dorment dans leur chambre.
Un gentleman en chemise et en cap noir se trouve sous un to,0,Un homme en cap
Une femme prépare des ingrédients pour un bol de soupe.,2,Un bol de soupe prépare une femme.
Un homme se trouve à l'extérieur à côté des fruits.,1,Un homme prend une pause à côté de ses fruits fraîchement récoltés.
Une fille s'envole dans l'air.,0,Une fille est en mouvement
L'homme en chandail gris joue avec son chien.,0,Un homme est avec un animal.
Un homme ayant une serviette blanche enveloppée autour de la partie,0,L'homme recouvrant son cou
Une femme de basket-ball s'est enfoncée sur le terrain,0,Une femme de basket-ball est sur le terrain.
Un homme et une fille s'assèchent dans,1,L'eau est bleue claire.
Trois garçons se trouvent sur le ledge à l'extérieur,2,Il y a deux garçons.
l’homme grillant des poissons sur barbecue,0,L'homme cuit du poisson.
Deux chiens jouant dans la neige.,0,Deux chiens jouent ensemble dans la neige.
Un homme en costume d'affaires se promène sous une promenade,1,L'homme marche à la maison du travail.
Un homme assis sur un banc à côté de son vélo en regardant,1,L'homme est fatigué de s'envoler sur sa
Un guy sur un toit travaillant sur des tuiles de toit,0,Un guy sur un toit travaillant sur des tuiles de toit.
Un coucher s'est rompu tandis qu'un homme,1,Un homme observe le mobilier brisé à proximité
Les gens marchent en hiver dans une rue ville occupée.,2,Les gens empruntent une rue ville occupée en été.
Un jeune homme en chemise noire et une femme âgée,2,L'homme dorme dans la baignoire sur la lune.
Plusieurs hommes sur scène ayant une discussion.,2,Les hommes jouent le baseball.
Deux jeunes hommes divisant le bois avec une axe dans la neige.,1,Ils auront des écrasements
Un coureur en châssis jaune entraîne une course.,2,Un coureur regarde les gens à la course.
Une femme vêtue d'une chemise bleue à long,-1,La femme porte des jeans.
Un vendeur de rue vendant son art.,0,Un homme vend des choses dans la rue.
"Une jeune étudiante, portant un t-shirt de l'ois",0,La femelle a travaillé à l'expérimentation.
Le vendeur de marche à côté en pantalon brun blanc vend le mas grillé,2,Le mas chasse l’arc-en-ciel
Un homme portant des chaussures de taylor et une,0,d’un homme en gilets droites
Un groupe de gens regardent un homme à bras gauche enveloppé,1,Les gens qui regardent les combattants sont leurs parents et leurs amis
Une femme danse danse dans une robe polka et une tête de,2,Une femme travaille sur un nouveau porche.
Un pont à support vert mène à un trottoir re,1,La personne marche au magasin.
Deux personnes marchent sur une montagne.,2,Deux chiens marchent sur une montagne.
Un homme joue la guitare alors qu'à droite est un autre homme regardant,0,Deux hommes s'assistent à proximité et un joue sa
Une femme qui emprunte une bicyclette à travers une voiture et,2,Une femme qui se promène à proximité d'une voiture et d
Un grand chien brun et noir saute dans l'air et,0,Un animal qui se déplace verticalement et qui agriculte un
Une fille pondant sur le quai flottant.,2,Une serviette chaude est sur le plancher.
Une femme qui utilise une caméra de grande taille en se reposant dans la rue.,2,Une femme tient un parapluie avec les deux mains.
d'un homme qui fait des coups sur une moto,1,Le Evil Kneavel se montre pour la foule.
Une personne en kayak orange navigue sur les rapides d'eau blanche.,0,UNE PERSONNE EST KAYAKING IN ROUGH WATERS
Un petit garçon se tient seul dans un parc boisé.,1,Un garçon attend sa sur.
Les familles attendent en ligne dans un parc d'agrément pour leur,2,The hotel is very quiet and the staff were very helpful.
Un homme s'enfonce sur un toit où il y,2,L'homme monte une échelle.
Plusieurs enfants se trouvent en boucle avec des plaques à,2,Les enfants sont en dehors de la salle de soccer.
"Un festival affiche deux hommes en costume rouge et en maquillage,",0,Deux hommes sont habillés dans le maquillage
Un chien brun traverse un champ.,0,Un chien brun à l'extérieur.
L'homme marche la mariée en aval.,1,Une mariée et son père marchent sur une coulisse d'église
"Deux équipes d'enfants, une verte l'autre rouge, se",2,Les enfants portent rouge et vert pour pratiquer thier spectacle de No
un homme en chemise rouge regardant une femme à cheveux rouges,1,Une personne s'enfonce à une autre.
La personne et le chien assient sur le canot jaune.,0,Il y a au moins deux chiffres dans l'image.
Un homme portant une chemise bleue à bande noire e,2,Un homme et une femme sont assis sur une couverture sous un grand
et l'hôtel a été situé à proximité de la ville,0,Les gens marchent.
Un homme portant une chemise verte et une feuille sur,2,Une femme mange du dîner
Les enfants s'asseoir et s'escalade à proximité,0,Les enfants s'en amontent et s'accro
Un groupe de jeunes hommes s'établissent à la maison.,2,Les hommes arrondissent les roses
Une femme dans une cuisine tient une canne entourée de bols.,2,La femme est dans la salle de bain.
Un enfant regarde hors de la porte.,0,Il y a une porte.
Un musicien masculin joue la guitare pour un spectacle sur scène.,0,L'homme joue de la musique
"Une super voiture tourne des pneus sur une piste de course, créant une fumée près",1,Une super voiture se roule sur une piste.
Quatre filles dansent dans des costumes en même temps qu'un festival,0,Les quatre filles participent au festival de rue.
Un chien brun à frisbee pourpre dans sa bouche.,2,Le chien joue avec un bâton.
